family,tier,N,seed,aw,cf,aw_over_sqrtN
random_layered_k4_uniform,Tier-2,36,51,12,0.42698412698412697,2.0
random_layered_k4_uniform,Tier-2,44,42,14,0.47674418604651164,2.1105794120443453
random_layered_k4_uniform,Tier-2,44,43,14,0.43446088794926,2.1105794120443453
random_layered_k4_uniform,Tier-2,44,44,13,0.48308668076109934,1.9598237397554636
random_layered_k4_uniform,Tier-2,44,45,14,0.41966173361522197,2.1105794120443453
random_layered_k4_uniform,Tier-2,44,46,13,0.4809725158562368,1.9598237397554636
random_layered_k4_uniform,Tier-2,44,47,14,0.4090909090909091,2.1105794120443453
random_layered_k4_uniform,Tier-2,44,48,13,0.47780126849894294,1.9598237397554636
random_layered_k4_uniform,Tier-2,44,49,13,0.459830866807611,1.9598237397554636
random_layered_k4_uniform,Tier-2,44,50,12,0.49682875264270615,1.8090680674665818
random_layered_k4_uniform,Tier-2,44,51,12,0.4978858350951374,1.8090680674665818
random_layered_k4_uniform,Tier-2,52,42,14,0.4841628959276018,1.9414506867883021
random_layered_k4_uniform,Tier-2,52,43,15,0.4638009049773756,2.0801257358446095
random_layered_k4_uniform,Tier-2,52,44,16,0.5037707390648567,2.2188007849009166
random_layered_k4_uniform,Tier-2,52,45,18,0.45852187028657615,2.4961508830135313
random_layered_k4_uniform,Tier-2,52,46,19,0.44720965309200605,2.6348259320698384
random_layered_k4_uniform,Tier-2,52,47,18,0.4622926093514329,2.4961508830135313
random_layered_k4_uniform,Tier-2,52,48,16,0.5135746606334841,2.2188007849009166
random_layered_k4_uniform,Tier-2,52,49,15,0.5090497737556561,2.0801257358446095
random_layered_k4_uniform,Tier-2,52,50,16,0.47888386123680243,2.2188007849009166
random_layered_k4_uniform,Tier-2,52,51,17,0.5346907993966817,2.3574758339572237
random_layered_k4_uniform,Tier-2,56,42,17,0.5175324675324675,2.271720556255607
random_layered_k4_uniform,Tier-2,56,43,17,0.4487012987012987,2.271720556255607
random_layered_k4_uniform,Tier-2,56,44,16,0.5084415584415585,2.138089935299395
random_layered_k4_uniform,Tier-2,56,45,19,0.462987012987013,2.538981798168032
random_layered_k4_uniform,Tier-2,56,46,20,0.4662337662337662,2.6726124191242437
