d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,128,0.25,13,0.75,0.0625,1020,7.96875,-0.5,19.470731239478397,1.0,-64.0,-1.4114487238295268,54.963877519978965,-180.66543665017943
4,128,0.25,14,0.75,0.0625,1204,9.40625,2.1484375,18.87586498173246,1.0,275.0,6.589174102062415,57.89154243102644,843.4142850639892
4,128,0.25,15,0.75,0.0625,1054,8.234375,-1.046875,19.061930063201235,1.0,-134.0,-3.0040706991315735,54.69935338197788,-384.5210494888414
4,128,0.5,0,3.0,0.25,696,5.4375,0.8671875,15.830336330597772,0.0,111.0,2.022146630650114,36.91388687334213,258.8347687232146
4,128,0.5,1,3.0,0.25,707,5.5234375,-2.9296875,18.505144383450343,0.0,-375.0,-6.885349979356628,43.4907803301824,-881.3247973576484
4,128,0.5,2,3.0,0.25,648,5.0625,-0.3203125,13.247012395341969,0.0,-41.0,-0.720703125,29.80577788951943,-92.25
4,128,0.5,3,3.0,0.25,794,6.203125,-1.6015625,13.888698105243478,0.0,-205.0,-3.9888633430274525,34.591293661271756,-510.5745079075139
4,128,0.5,4,3.0,0.25,621,4.8515625,0.3359375,9.896556648455752,0.5,43.0,0.7399447636995723,21.798415689469092,94.71292975354525
4,128,0.5,5,3.0,0.25,707,5.5234375,2.2109375,12.430212905300285,0.5,283.0,5.196144117754469,29.2134796530032,665.106447072572
4,128,0.5,6,3.0,0.25,774,6.046875,-0.5625,15.249871925691703,0.0,-72.0,-1.3832096887199532,37.500036621075864,-177.050840156154
4,128,0.5,7,3.0,0.25,734,5.734375,0.34375,14.147348194538084,0.0,44.0,0.8231628307318288,33.878025271752136,105.36484233367409
4,128,0.5,8,3.0,0.25,543,4.2421875,2.0859375,10.39157361741203,1.0,267.0,4.296316048073096,21.403078710277892,549.9284541533563
4,128,0.5,9,3.0,0.25,697,5.4453125,1.6171875,11.077934919913718,1.0,207.0,3.7737383041377495,25.850575358777846,483.03850292963193
4,128,0.5,10,3.0,0.25,687,5.3671875,0.03125,12.162915910154933,1.0,4.0,0.0723974726283228,28.178059893953076,9.266876496425319
4,128,0.5,11,3.0,0.25,688,5.375,1.671875,13.846315718788698,0.0,214.0,3.87608273053922,32.10136238605794,496.13858950902016
4,128,0.5,12,3.0,0.25,679,5.3046875,0.6015625,13.6458211573578,1.0,77.0,1.385513168454099,31.42892867804889,177.3456855621247
4,128,0.5,13,3.0,0.25,563,4.3984375,0.828125,12.551835881032503,0.0,106.0,1.7367811952828387,26.324277765377996,222.30799299620335
4,128,0.5,14,3.0,0.25,791,6.1796875,-0.5625,13.891741026595623,0.0,-72.0,-1.3983174704075163,34.533447416649786,-178.9846362121621
4,128,0.5,15,3.0,0.25,658,5.140625,2.3203125,13.059319944099071,1.0,297.0,5.260832102269009,29.60932615573045,673.3865090904332
4,128,1.0,0,12.0,1.0,235,1.8359375,0.9453125,4.844953227570288,1.0,121.0,1.2808679150537767,6.564755188502238,163.95109312688342
4,128,1.0,1,12.0,1.0,172,1.34375,0.203125,2.867815411489205,0.0,26.0,0.2354629696121956,3.3243782552067396,30.139260110361036
4,128,1.0,2,12.0,1.0,200,1.5625,0.9140625,4.693791350933033,0.0,117.0,1.142578125,5.867239188666291,146.25
4,128,1.0,3,12.0,1.0,275,2.1484375,1.234375,5.551582509462955,0.0,158.0,1.8092912354787642,8.137259404482858,231.58927814128182
4,128,1.0,4,12.0,1.0,156,1.21875,0.796875,4.102894129072185,0.0,102.0,0.8797261800443754,4.52947247597825,112.60495104568005
4,128,1.0,5,12.0,1.0,315,2.4609375,0.46875,7.932269438029699,0.0,60.0,0.7353457264459649,12.44364892218256,94.1242529850835
4,128,1.0,6,12.0,1.0,227,1.7734375,-0.1484375,2.5189588739385464,0.0,-19.0,-0.19767492153349014,3.354509458539054,-25.30238995628674
4,128,1.0,7,12.0,1.0,277,2.1640625,0.6328125,4.438593340219821,0.0,81.0,0.9309148300499271,6.529504971806773,119.15709824639067
4,128,1.0,8,12.0,1.0,196,1.53125,-0.1015625,3.0306760893559295,0.0,-13.0,-0.12567718181245277,3.7502703251361336,-16.086679271993955
4,128,1.0,9,12.0,1.0,199,1.5546875,0.0703125,2.669806856748958,0.0,9.0,0.08767062309049806,3.328904969421728,11.221839755583751
4,128,1.0,10,12.0,1.0,199,1.5546875,-0.125,5.0156006619347195,0.0,-16.0,-0.15585888549421878,6.253807434025691,-19.949937343260004
4,128,1.0,11,12.0,1.0,294,2.296875,0.609375,5.895223669155819,0.0,78.0,0.923534903254499,8.934473552340435,118.21246761657588
4,128,1.0,12,12.0,1.0,312,2.4375,-1.2421875,6.689247544742514,0.0,-159.0,-1.9393646127838775,10.443584381927101,-248.23867043633632
4,128,1.0,13,12.0,1.0,295,2.3046875,-0.3671875,4.548129927766329,-1.0,-47.0,-0.5574345865918775,6.904605756052614,-71.35162708376032
4,128,1.0,14,12.0,1.0,287,2.2421875,0.9453125,6.183784987961964,0.0,121.0,1.4155048580429919,9.259559872056577,181.18462182950296
4,128,1.0,15,12.0,1.0,365,2.8515625,0.09375,8.981263048007223,0.0,12.0,0.15831159475905815,15.166272811526646,20.263884129159443
