family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
Lor4D,28,2,54.146681445874265,43.24299269997903,0.1607142857142857,0.0,0.08407376894199076,4.148257142857143,3,0.14285714285714285,33.66480757272256,41.532445360110344,0.22499999999999998,0.0,0.14250125368087707,4.12118947368421
Lor4D,28,3,56.354983728468596,51.643047640266865,0.1607142857142857,0.0,0.06586203439937106,4.291114285714285,3,0.11904761904761904,34.713806848764406,44.37009048882126,0.22499999999999998,0.0,0.07362297428187692,4.12118947368421
Lor4D,28,4,51.296464677580126,31.726081041033236,0.1607142857142857,0.0,0.08384863980839313,3.7831777777777775,3,0.2037037037037037,33.03004399815491,37.36099749072716,0.22499999999999998,0.0,0.09455086359969693,3.9948736842105266
Lor4D,28,5,52.821634704955535,37.17250693404756,0.1607142857142857,0.0,0.05836449935578505,3.9577809523809524,3,0.1746031746031746,32.492111600648606,28.49655515144423,0.22499999999999998,0.0,0.12023824408290802,3.7106631578947367
Lor4D,28,6,54.24722562507196,43.17827794398975,0.1607142857142857,0.0,0.055599294854138386,4.100638095238095,3,0.15079365079365079,32.68759330123969,37.5807878384204,0.22499999999999998,0.0,0.08469323020731308,3.9317157894736843
Lor4D,28,7,50.84321028931897,30.09602470902863,0.1607142857142857,0.0,0.06038604996318525,3.6879396825396826,3,0.21957671957671956,31.854166807705216,29.022138823363033,0.22499999999999998,0.0,0.06571213818481912,3.6475052631578944
Lor5D,28,0,56.07306230146371,44.33941062523508,0.1607142857142857,0.0,0.09767261222125699,4.1165111111111115,3,0.14814814814814814,34.422623640257264,45.88160307949911,0.15000000000000002,0.0,0.11978842174245724,4.08961052631579
Lor5D,28,1,58.64650005388593,68.85241133039774,0.10714285714285714,0.0,0.059654468362649114,4.608574603174603,2,0.06613756613756613,38.047062649003344,73.28942499271865,0.15000000000000002,0.0,0.07678269386911783,4.721189473684211
Lor5D,28,2,58.14343338378644,63.772125163469795,0.10714285714285714,0.0,0.06445775046190677,4.513336507936508,2,0.082010582010582,35.95647270727475,56.568292817960476,0.15000000000000002,0.0,0.18164138211257427,4.4054
Lor5D,28,3,59.530965252480684,66.82978878203346,0.10714285714285714,0.0,0.06361010532349877,4.529209523809524,2,0.07936507936507936,36.42264688367853,57.08516100373366,0.15000000000000002,0.0,0.06407780108847548,4.342242105263158
Lor5D,28,4,54.54691722149631,48.69878577581497,0.1607142857142857,0.0,0.07756344834828156,4.227622222222222,3,0.12962962962962962,35.81039068693272,53.23465568397551,0.22499999999999998,0.0,0.0888663679861506,4.4054
Lor5D,28,5,56.89425443357048,51.33716428806424,0.1607142857142857,0.0,0.06729525083799436,4.35460634920635,3,0.10846560846560846,36.068373891831044,52.50344957534397,0.15000000000000002,0.0,0.105615194132875,4.279084210526316
Lor5D,28,6,58.29078098462366,58.66350275143629,0.1607142857142857,0.0,0.09494872596870248,4.513336507936508,3,0.082010582010582,34.816962653540465,54.69700190124444,0.22499999999999998,0.0,0.1204045365072215,4.436978947368421
Lor5D,28,7,53.795825217698884,43.70414900297148,0.1607142857142857,0.0,0.051920505984670046,4.132384126984127,3,0.1455026455026455,33.362011586172414,41.33566882970209,0.22499999999999998,0.0,0.04494383351687168,4.058031578947368
KR_like,28,0,44.836885382398876,13.572634049935486,0.1607142857142857,4.32373418093799,0.0731906235699471,2.9260349206349208,3,0.34656084656084657,28.37611805880931,13.83769851572638,0.22499999999999998,3.710669405022149,0.09144341158358456,3.079084210526316
KR_like,28,1,44.34183366720515,10.801941498770596,0.1607142857142857,5.518742280711232,0.07460729010040273,2.656193650793651,3,0.3915343915343915,25.961740360384386,4.722367996121387,0.22499999999999998,7.036422462085861,0.09595945424581738,2.3527684210526316
KR_like,28,2,44.49408396200174,11.90620919008522,0.1607142857142857,4.867950344203299,0.07837310995305298,2.799050793650794,3,0.36772486772486773,28.245971719129738,13.724468664795596,0.22499999999999998,4.084629487016608,0.10474801239889338,2.984347368421053
