d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,2.0,1,48.0,4.0,12,0.90625,0.2914805954090255,0.9453125,64.0,1,0.2914805954090255,nan,nan,nan
4,128,2.0,2,48.0,4.0,30,0.84375,0.8699631816921909,0.953125,42.666666666666664,1,0.8699631816921909,nan,nan,nan
4,128,2.0,3,48.0,4.0,15,0.8828125,0.3670212389545733,0.9609375,64.0,1,0.3670212389545733,nan,nan,nan
4,128,2.0,4,48.0,4.0,10,0.921875,0.26836818808308854,0.96875,64.0,1,0.26836818808308854,nan,nan,nan
4,128,2.0,5,48.0,4.0,4,0.96875,0.17399263633843817,0.9765625,64.0,1,0.17399263633843817,nan,nan,nan
4,128,2.0,6,48.0,4.0,18,0.859375,0.3476343040826092,0.9375,64.0,1,0.3476343040826092,nan,nan,nan
4,128,2.0,7,48.0,4.0,12,0.90625,0.34089725358236606,0.9453125,64.0,1,0.34089725358236606,nan,nan,nan
4,128,2.0,8,48.0,4.0,16,0.875,0.375,0.9375,64.0,1,0.375,nan,nan,nan
4,128,2.0,9,48.0,4.0,20,0.84375,0.3630921887069453,0.9765625,64.0,1,0.3630921887069453,nan,nan,nan
4,128,2.0,10,48.0,4.0,26,0.875,0.8926785535678563,0.9453125,42.666666666666664,1,0.8926785535678563,nan,nan,nan
4,128,2.0,11,48.0,4.0,15,0.8828125,0.3216435757849828,0.9375,64.0,1,0.3216435757849828,nan,nan,nan
4,128,2.0,12,48.0,4.0,5,0.9609375,0.19374369949433196,0.9609375,64.0,1,0.19374369949433196,nan,nan,nan
4,128,2.0,13,48.0,4.0,11,0.9140625,0.280271736166439,0.9375,64.0,1,0.280271736166439,nan,nan,nan
4,128,2.0,14,48.0,4.0,18,0.859375,0.4281934251888975,0.9609375,64.0,1,0.4281934251888975,nan,nan,nan
4,128,2.0,15,48.0,4.0,13,0.8984375,0.3020721082684563,0.9453125,64.0,1,0.3020721082684563,nan,nan,nan
4,128,2.0,16,48.0,4.0,44,0.8125,1.197327753791751,0.9296875,42.666666666666664,1,1.197327753791751,nan,nan,nan
4,128,2.0,17,48.0,4.0,9,0.9296875,0.25567294018677456,0.9453125,64.0,1,0.25567294018677456,nan,nan,nan
4,128,2.0,18,48.0,4.0,10,0.921875,0.26836818808308854,0.9609375,64.0,1,0.26836818808308854,nan,nan,nan
4,128,2.0,19,48.0,4.0,16,0.875,0.33071891388307384,0.953125,64.0,1,0.33071891388307384,nan,nan,nan
4,128,2.0,20,48.0,4.0,4,0.96875,0.17399263633843817,0.9765625,64.0,1,0.17399263633843817,nan,nan,nan
4,128,2.0,21,48.0,4.0,19,0.8515625,0.35553313290571104,0.953125,64.0,1,0.35553313290571104,nan,nan,nan
4,128,2.0,22,48.0,4.0,26,0.796875,0.48988798145596507,0.9609375,64.0,1,0.48988798145596507,nan,nan,nan
4,128,2.0,23,48.0,4.0,11,0.9140625,0.3068831147094118,0.9609375,64.0,1,0.3068831147094118,nan,nan,nan
4,128,2.0,24,48.0,4.0,16,0.875,0.33071891388307384,0.9375,64.0,1,0.33071891388307384,nan,nan,nan
4,128,2.0,25,48.0,4.0,23,0.8203125,0.4581483409811172,0.9296875,64.0,1,0.4581483409811172,nan,nan,nan
4,128,2.0,26,48.0,4.0,9,0.9296875,0.25567294018677456,0.953125,64.0,1,0.25567294018677456,nan,nan,nan
4,128,2.0,27,48.0,4.0,43,0.7421875,0.903518242673467,0.9140625,42.666666666666664,1,0.903518242673467,nan,nan,nan
4,128,2.0,28,48.0,4.0,25,0.8046875,0.4340685744715344,0.9453125,64.0,1,0.4340685744715344,nan,nan,nan
4,128,2.0,29,48.0,4.0,27,0.7890625,0.4079741059108409,0.96875,64.0,1,0.4079741059108409,nan,nan,nan
