d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,128,1.0,0,0.8,1.25,1003,0.25,8.0,0.0625,16.0,6.745368781616021,0.4215855488510013,0.1796875,1.970435469073164
2,128,1.0,1,0.8,1.25,956,0.265625,8.0,0.0625,16.0,6.946221994724902,0.4341388746703064,0.1875,1.9626318836766368
2,128,1.0,2,0.8,1.25,1036,0.2421875,9.0,0.0703125,14.222222222222221,5.995883361436462,0.42158554885100125,0.1640625,2.0827580400500927
2,128,1.0,3,0.8,1.25,1102,0.25,9.0,0.0703125,14.222222222222221,7.450246495217871,0.5238454566950066,0.1640625,2.0158054624791117
2,128,1.0,4,0.8,1.25,1028,0.25,9.0,0.0703125,14.222222222222221,6.32065006814573,0.4444207079164966,0.171875,2.0776144830381424
2,128,1.0,5,0.8,1.25,1118,0.25,8.0,0.0625,16.0,5.024937810560445,0.3140586131600278,0.15625,2.020942103887514
2,128,1.0,6,0.8,1.25,1074,0.25,8.0,0.0625,16.0,6.324555320336759,0.39528470752104744,0.171875,1.9803019904582904
2,128,1.0,7,0.8,1.25,974,0.2421875,8.0,0.0625,16.0,6.5383484153110105,0.40864677595693816,0.1640625,1.9563960846382034
2,128,1.5,0,0.2,7.5,5017,0.125,20.0,0.15625,6.4,2.3748684174075834,0.3710731902199349,0.078125,2.920513797666361
2,128,1.5,1,0.2,7.5,5086,0.1328125,20.0,0.15625,6.4,2.4979991993593593,0.3903123748998999,0.0859375,2.9193899994459396
2,128,1.5,2,0.2,7.5,5267,0.125,20.0,0.15625,6.4,2.437211521390788,0.3808143002173106,0.0859375,2.920724327208747
2,128,1.5,3,0.2,7.5,4937,0.109375,21.0,0.1640625,6.095238095238095,2.223355719986429,0.3647692978102735,0.078125,2.972842785786573
2,128,1.5,4,0.2,7.5,5271,0.1328125,22.0,0.171875,5.818181818181818,1.9917183909278766,0.34232659844072877,0.0859375,3.036297056330745
2,128,1.5,5,0.2,7.5,5671,0.1171875,21.0,0.1640625,6.095238095238095,2.2657861434991085,0.3717305391678225,0.1015625,2.973814572033348
2,128,1.5,6,0.2,7.5,4965,0.109375,19.0,0.1484375,6.7368421052631575,2.5719561521832874,0.38177474133970674,0.09375,2.867318235456452
2,128,1.5,7,0.2,7.5,5145,0.1328125,20.0,0.15625,6.4,2.576819745345025,0.4026280852101601,0.09375,2.9182021482484797
2,128,1.5,0,0.4,3.75,2787,0.171875,15.0,0.1171875,8.533333333333333,3.896437118987322,0.4566137248813268,0.1171875,2.5918646879007587
2,128,1.5,1,0.4,3.75,2613,0.15625,14.0,0.109375,9.142857142857142,3.7579846965616874,0.4110295761864346,0.1328125,2.546340827827225
2,128,1.5,2,0.4,3.75,3030,0.1640625,15.0,0.1171875,8.533333333333333,3.383620677453205,0.3965180481390475,0.109375,2.622084334443569
2,128,1.5,3,0.4,3.75,3166,0.140625,14.0,0.109375,9.142857142857142,2.9485382057928993,0.3224963662585984,0.1171875,2.5856392772857304
2,128,1.5,4,0.4,3.75,2805,0.1875,14.0,0.109375,9.142857142857142,3.907084094622098,0.427337322849292,0.109375,2.5292317911941233
2,128,1.5,5,0.4,3.75,2687,0.1640625,14.0,0.109375,9.142857142857142,3.1815796359028696,0.3479852726768764,0.109375,2.5596871006455673
2,128,1.5,6,0.4,3.75,2845,0.1953125,13.0,0.1015625,9.846153846153847,3.415938970949926,0.34693130173710185,0.140625,2.5034137076080296
2,128,1.5,7,0.4,3.75,3186,0.1640625,15.0,0.1171875,8.533333333333333,3.461534662865912,0.40564859330459907,0.1015625,2.6126143679081513
2,128,1.5,0,0.6,2.5,1783,0.2109375,12.0,0.09375,10.666666666666666,4.853406592853679,0.4550068680800324,0.1328125,2.366985081746073
2,128,1.5,1,0.6,2.5,1866,0.1953125,11.0,0.0859375,11.636363636363637,5.139379645491844,0.4416654382844553,0.1484375,2.2765682760496846
2,128,1.5,2,0.6,2.5,1713,0.1875,10.0,0.078125,12.8,4.142463035441596,0.32362992464387463,0.1484375,2.2457191065846343
2,128,1.5,3,0.6,2.5,1572,0.203125,10.0,0.078125,12.8,4.445222154178573,0.34728298079520104,0.1328125,2.2333100825574848
2,128,1.5,4,0.6,2.5,1672,0.21875,12.0,0.09375,10.666666666666666,6.381396573025549,0.5982559287211453,0.1484375,2.2635007903560544
