d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,512,1.0,7,2.0,1.0,-0.8203125,42679,-0.8203125,4.944905196497072,-1.0,-17.0,13.0,0.560546875,-7.613528239232388,11.785692197235903,0.5010715035934847,19.39922043646829,1.640625
2,512,2.0,0,8.0,4.0,-0.38671875,23974,-0.38671875,4.716044275491742,-1.0,-13.0,13.0,0.54296875,-7.139569384201994,10.975768605150703,0.3305435541513493,18.115337989352696,0.7734375
2,512,2.0,1,8.0,4.0,-0.76953125,22506,-0.76953125,4.863930679530028,-1.0,-19.0,17.0,0.544921875,-7.710749332165137,10.891641394249454,0.2228181492187069,18.60239072641459,1.5390625
2,512,2.0,2,8.0,4.0,-1.03125,23507,-1.03125,4.570519493175803,-1.0,-15.0,13.0,0.58984375,-7.311369392819621,11.154057478238622,0.7902460857218845,18.46542687105824,2.0625
2,512,2.0,3,8.0,4.0,-1.15234375,23086,-1.15234375,4.836409192969091,-1.0,-19.0,13.0,0.583984375,-7.8505213696344205,11.499069546703558,0.32485680172490916,19.349590916337977,2.3046875
2,512,2.0,4,8.0,4.0,-0.6015625,25023,-0.6015625,4.813457443313875,-1.0,-17.0,13.0,0.56640625,-7.189981703009445,10.955619932421744,0.13766305554138647,18.145601635431188,1.203125
2,512,2.0,5,8.0,4.0,-0.56640625,25661,-0.56640625,4.7425398216526276,-1.0,-17.0,17.0,0.564453125,-7.580670840914717,11.704547817046622,1.0300446494253865,19.285218657961337,1.1328125
2,512,2.0,6,8.0,4.0,-0.6953125,23079,-0.6953125,5.120514185835613,-1.0,-15.0,15.0,0.537109375,-8.342620912368004,12.385918425049198,1.0648979597359194,20.728539337417203,1.390625
2,512,2.0,7,8.0,4.0,-0.64453125,22049,-0.64453125,4.5266797399168235,-1.0,-15.0,13.0,0.544921875,-7.711433478319179,11.536932846466774,0.5721796332048594,19.248366324785955,1.2890625
3,128,0.0,0,0.0,0.0,-15.734375,2452,-15.734375,42.066072354801264,-5.0,-149.0,121.0,0.6015625,-57.68552081455224,64.69929966632495,4.525134595879557,122.38482048087718,31.46875
