rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.1,256,4,1.5,10.0,485.96774962014956,3.3152890959101358,1569.1323683591652,9945.177844313894,30278,794,615,490,403,377,0.024325980392156863,62.0,0.2421875,4.129032258064516,1.6212686287908467,0.3926509960352832,0.03125,4.047932518256252
0.1,256,5,1.5,10.0,266.85828659238985,3.3265738858606104,1062.5269772319666,9409.567086305797,30392,795,571,438,407,355,0.024356617647058824,59.0,0.23046875,4.338983050847458,1.3480704288236052,0.3106881066429403,0.03125,4.030234073835082
0.1,256,6,1.5,10.0,329.9825677741346,3.6052396513471807,1104.6580571601598,9118.84298496397,30353,786,560,459,426,411,0.024080882352941178,60.0,0.234375,4.266666666666667,1.3274871834493251,0.3111298086209356,0.03515625,4.045292257977406
0.1,256,7,1.5,10.0,453.560003829749,2.6422500543865386,1721.4248784902818,10457.732308941537,30434,810,556,462,413,359,0.024816176470588234,65.0,0.25390625,3.9384615384615387,1.2137281798963704,0.30817317067681277,0.02734375,4.1215267907320605
0.1,256,8,1.5,10.0,359.25105517319304,5.628792463505906,1229.7382422125177,8312.101672908264,30472,725,570,499,382,398,0.02221200980392157,65.0,0.25390625,3.9384615384615387,1.445171515792908,0.366938080181793,0.02734375,4.106223302787941
0.1,256,9,1.5,10.0,357.93474614307536,3.7222762892022763,1264.9182353374356,10287.807523854935,30437,766,587,484,427,379,0.02346813725490196,64.0,0.25,4.0,1.6583123951777,0.414578098794425,0.03125,4.072385535740056
0.1,512,0,1.5,10.0,365.29514698470985,3.382304327873295,1281.7002891997931,10381.735858835294,121609,1846,1436,1208,1058,947,0.014111423679060665,90.0,0.17578125,5.688888888888889,1.4578861748317091,0.25626905416963636,0.017578125,4.466581345163492
0.1,512,1,1.5,10.0,380.92639107565225,3.8469532728656506,1321.7638276757816,10199.482505474884,121695,1874,1379,1133,1018,986,0.014325464774951077,90.0,0.17578125,5.688888888888889,1.7552742390637959,0.30854429983543286,0.021484375,4.45018713893135
0.1,512,2,1.5,10.0,446.4652301112568,2.9783191833516716,1453.6461161586642,9359.298522078801,121560,1847,1320,1193,1019,1010,0.014119068003913894,94.0,0.18359375,5.446808510638298,1.71114632024537,0.31415576973254844,0.01953125,4.492420943147754
0.1,512,3,1.5,10.0,475.03756453820915,3.7095981076245974,1483.4537917572723,10370.596102333573,121379,1842,1444,1157,1124,1013,0.01408084637964775,88.0,0.171875,5.818181818181818,1.5706502311973631,0.2699555084870468,0.017578125,4.440002720792713
0.1,512,4,1.5,10.0,320.05806599499317,3.2065857518435066,1171.0824855557605,10308.996041451388,121940,1904,1379,1151,1107,927,0.014554794520547944,88.0,0.171875,5.818181818181818,1.519161360642582,0.2611058588604438,0.01953125,4.443277990500075
