N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
28,8.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-9.650871837854867,1.7570350298925552,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,10.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-3.3473004092834384,13.36417788703541,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,12.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,2.95627101928799,24.97132074417827,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,14.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,9.25984244785942,36.57846360132113,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,16.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,15.563413876430849,48.18560645846398,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,18.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,21.866985305002277,59.79274931560684,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
28,20.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,28.170556733573704,71.39989217274969,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
36,0.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-48.29322686030814,-64.32722150365669,0.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,0.0
36,2.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-41.446004638085924,-48.07722150365669,0.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,0.0
36,4.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-34.598782415863695,-31.82722150365668,0.75,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,0.75
36,6.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-27.75156019364148,-15.57722150365668,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,8.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-20.904337971419256,0.6727784963433194,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,10.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-14.057115749197035,16.92277849634332,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,12.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-7.209893526974812,33.17277849634332,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,14.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-0.36267130475259,49.42277849634332,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,16.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,6.484550917469632,65.67277849634333,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,18.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,13.331773139691855,81.92277849634331,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
36,20.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,20.17899536191408,98.17277849634331,1.0,3.4104803968126896,96.39804249903817,135.30411037049961,1.0,1.0
16,0.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-15.977373306463498,-18.989846544100253,0.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,0.0
16,2.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-14.696123306463498,-13.552346544100253,0.5,1.449611182020694,31.810854423610923,41.67606865993212,1.0,0.5
16,4.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-13.414873306463498,-8.114846544100253,0.875,1.449611182020694,31.810854423610923,41.67606865993212,1.0,0.875
16,6.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-12.133623306463498,-2.677346544100253,0.875,1.449611182020694,31.810854423610923,41.67606865993212,1.0,0.875
16,8.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-10.852373306463498,2.760153455899747,0.875,1.449611182020694,31.810854423610923,41.67606865993212,1.0,0.875
16,10.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-9.571123306463498,8.197653455899747,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
16,12.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-8.289873306463498,13.635153455899747,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
