scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.700,1.7,48,1.0,KR_like,-81.94935190469064,0.4362242746649139,15.057802195834405,97.00715410052504,2
1.700,1.7,48,1.0,lorentzian_like_2d,-68.88058368075394,4.4849405785386285,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,1.5,KR_like,-74.42045080677345,0.5996366905896717,15.057802195834405,97.00715410052504,2
1.700,1.7,48,1.5,lorentzian_like_2d,-67.91760641215649,4.795029667645804,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,2.0,lorentzian_like_2d,-66.95462914355902,5.105118756753002,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,2.0,KR_like,-66.89154970885625,0.7630491065144296,15.057802195834405,97.00715410052504,2
1.710,1.71,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,0.1,KR_like,-95.49766604243771,0.14227341240255847,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.1,lorentzian_like_2d,-70.6131298419314,3.9267573988570743,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,0.2,KR_like,-93.98817798435036,0.17514738198971364,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.2,lorentzian_like_2d,-70.41972146591391,3.9887523973899,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,0.4,KR_like,-90.96920186817567,0.24089532116402396,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.4,lorentzian_like_2d,-70.03290471387896,4.112742394455547,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,0.6,KR_like,-87.95022575200096,0.3066432603383444,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.6,lorentzian_like_2d,-69.646087961844,4.236732391521189,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,0.8,KR_like,-84.93124963582628,0.3723911995126547,15.094880580873461,97.00715410052504,2
1.710,1.71,48,0.8,lorentzian_like_2d,-69.25927120980904,4.36072238858683,1.9340837601747891,70.80653821794888,2
1.710,1.71,48,1.0,KR_like,-81.91227351965159,0.438139138686955,15.094880580873461,97.00715410052504,2
