config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
no_interval_boost_2.0x,10,0.2,2,-11.071395401942187,KR_2layer,-11.263826416202727,0.19243101426054032,0.0,17
no_interval_boost_2.0x,10,0.5,3,-8.941493799607489,KR_2layer,-10.120583399150995,1.1790895995435058,0.0,17
no_interval_boost_2.0x,10,1.0,12,-5.391657795716326,KR_2layer,-8.215178370731442,2.8235205750151158,0.0,17
no_interval_boost_2.0x,10,2.0,15,1.7080142120659985,KR_like,-6.8583625388011455,8.566376750867144,0.0,17
no_interval_boost_2.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.0,17
no_interval_boost_2.0x,20,0.2,3,-32.96202012701447,lorentzian_like_5d,-33.867232768363515,0.9052126413490456,0.0,17
no_interval_boost_2.0x,20,0.5,3,-31.95857222257132,KR_2layer,-32.76859329146937,0.8100210688980525,0.0,17
no_interval_boost_2.0x,20,1.0,2,-30.286159048499393,KR_2layer,-31.56635444145889,1.2801953929594987,0.0,17
no_interval_boost_2.0x,20,2.0,2,-26.94133270035555,KR_2layer,-29.16187674143792,2.22054404108237,0.0,17
no_interval_boost_2.0x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,0.0,17
no_interval_boost_2.0x,40,0.2,3,-85.47910263912821,lorentzian_like_5d,-90.80641405159818,5.327311412469967,0.0,17
no_interval_boost_2.0x,40,0.5,3,-84.4039745386157,KR_2layer,-89.08904959563323,4.685075057017528,0.0,17
no_interval_boost_2.0x,40,1.0,3,-82.61209437109483,KR_2layer,-87.94625856599407,5.334164194899245,0.0,17
no_interval_boost_2.0x,40,2.0,3,-79.02833403605311,KR_2layer,-85.66067650671575,6.6323424706626355,0.0,17
no_interval_boost_3.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.0,17
no_interval_boost_3.0x,10,0.2,2,-10.361428201163953,KR_2layer,-10.882745410518817,0.5213172093548639,0.0,17
no_interval_boost_3.0x,10,0.5,7,-7.166575797661908,KR_2layer,-9.167880884941217,2.0013050872793094,0.0,17
no_interval_boost_3.0x,10,1.0,15,-1.8418217918251638,KR_like,-7.358041538394798,5.516219746569634,0.0,17
no_interval_boost_3.0x,10,2.0,15,8.807686219848325,KR_like,-5.859004539613841,14.666690759462167,0.0,17
no_interval_boost_3.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.0,17
no_interval_boost_3.0x,20,0.2,3,-32.62753749220009,lorentzian_like_5d,-33.35204757831839,0.7245100861183005,0.0,17
no_interval_boost_3.0x,20,0.5,2,-31.122365635535356,KR_2layer,-32.167473866464135,1.0451082309287791,0.0,17
no_interval_boost_3.0x,20,1.0,2,-28.61374587442747,KR_2layer,-30.364115591448403,1.7503697170209342,0.0,17
no_interval_boost_3.0x,20,2.0,4,-23.596506352211698,KR_2layer,-26.757399041416942,3.1608926892052445,0.0,17
